识别结果,文件名,文本值,预期值
"('Z18', 0.934)",0_y112_y140_item0.png,Z18,Z18
"('Z17', 0.926)",0_y112_y140_item1.png,Z17,Z17
"('岛风', 0.947)",0_y112_y140_item2.png,岛风,岛风
"('初夏', 0.922)",0_y112_y140_item3.png,初夏,初夏
"('岚', 0.936)",0_y112_y140_item4.png,岚,岚
"('高波', 0.889)",0_y112_y140_item5.png,高波,高波
"('灵敏', 0.942)",0_y112_y140_item6.png,灵敏,灵敏
"('吕贝克', 0.916)",0_y151_y179_item0.png,吕贝克,吕贝克
"('T-23', 0.9)",0_y151_y179_item1.png,T-23,T-23
"('诺福克', 0.888)",0_y151_y179_item2.png,诺福克,诺福克
"('马伊.布雷泽', 0.952)",0_y151_y179_item3.png,马伊.布雷泽,马伊·布雷泽
"('史密斯', 0.958)",0_y151_y179_item4.png,史密斯,史密斯
"('47工程', 0.940)",0_y151_y179_item5.png,47工程,47工程
"('凯利', 0.898)",0_y151_y179_item6.png,凯利,凯利
"('田纳西', 0.962)",0_y175_y203_item0.png,田纳西,田纳西
"('前卫', 0.971)",0_y175_y203_item1.png,前卫,前卫
"('陆奥', 0.932)",0_y175_y203_item2.png,陆奥,陆奥
"('长门', 0.956)",0_y175_y203_item3.png,长门,长门
"('狮', 0.947)",0_y175_y203_item4.png,狮,狮
"('金刚', 0.889)",0_y175_y203_item5.png,金刚,金刚
"('E安', 0.926)",0_y175_y203_item6.png,亚    安,
"('不屈', 0.845)",0_y179_y207_item0.png,不屈,不屈
"('玛丽女王', 0.914)",0_y179_y207_item1.png,玛丽女王,玛丽女王
"('伊兹梅尔', 0.962)",0_y179_y207_item2.png,伊兹梅尔,伊兹梅尔
"('夏威夷', 0.913)",0_y179_y207_item3.png,夏威夷,夏威夷
"('1913战猛', 0.925)",0_y179_y207_item4.png,1913战猛,1913战巡
"('安森', 0.915)",0_y179_y207_item5.png,安森,安森
"('无敌', 0.933)",0_y179_y207_item6.png,无敌,无敌
"('皇家方舟', 0.963)",0_y190_y218_item0.png,皇家方舟,皇家方舟
"('怨仇', 0.957)",0_y190_y218_item1.png,怨仇,怨仇
"('光辉', 0.920)",0_y190_y218_item2.png,光辉,光辉
"('天鹰', 0.889)",0_y190_y218_item3.png,天鹰,天鹰
"('不挠', 0.979)",0_y190_y218_item4.png,不挠,不挠
"('提尔比茨', 0.916)",0_y190_y218_item5.png,提尔比茨,提尔比茨
"('卡拉乔洛', 0.926)",0_y190_y218_item6.png,卡拉乔洛,卡拉乔洛
"('进取', 0.940)",0_y213_y241_item0.png,进取,进取
"('翡翠', 0.923)",0_y213_y241_item1.png,翡翠,翡翠
"('埃姆登', 0.947)",0_y213_y241_item2.png,埃姆登,埃姆登
"('川内', 0.941)",0_y213_y241_item3.png,川内,川内
"('平海', 0.933)",0_y213_y241_item4.png,平海,平海
"('宁海', 0.937)",0_y213_y241_item5.png,宁海,宁海
"('海`伦娜', 0.926)",0_y213_y241_item6.png,海伦娜,海伦娜
"('武藏', 0.943)",0_y226_y254_item0.png,武藏,武藏
"('密西西比', 0.935)",0_y226_y254_item1.png,密西西比,密西西比
"('H43', 0.910)",0_y226_y254_item2.png,H43,H43
"('德克萨斯', 0.910)",0_y226_y254_item3.png,德克萨斯,德克萨斯
"('骏河', 0.875)",0_y226_y254_item4.png,骏河,骏河
"('布勃诺夫方案', 0.935)",0_y226_y254_item5.png,布勃诺夫方案,布勃诺夫方案
"('勃艮第', 0.933)",0_y226_y254_item6.png,勃艮第,勃艮第
"('德格拉斯', 0.921)",0_y278_y306_item0.png,德格拉斯,德格拉斯
"('阿贾克斯', 0.915)",0_y278_y306_item1.png,阿贾克斯,阿贾克斯
"('纽伦量', 0.935)",0_y278_y306_item2.png,纽伦量,纽伦堡
"('圣女贞德', 0.950)",0_y278_y306_item3.png,圣女贞德,圣女贞德
"('布莱克', 0.918)",0_y278_y306_item4.png,布莱克,布莱克
"('克利夫兰', 0.956)",0_y278_y306_item5.png,克利夫兰,克利夫兰
"('圣地亚哥', 0.923)",0_y278_y306_item6.png,圣地亚哥,圣地亚哥
"('初雷', 0.873)",0_y290_y318_item0.png,初雷,初雪
"('白雷', 0.867)",0_y290_y318_item1.png,白雷,白雪
"('汉雷', 0.880)",0_y290_y318_item2.png,欠雷,
"('卡萨尔', 0.938)",0_y290_y318_item3.png,卡萨尔,卡萨尔
"('长矛', 0.932)",0_y290_y318_item4.png,长矛,长矛
"('狭雾', 0.952)",0_y290_y318_item5.png,狭雾,狭雾
"('冲锋', 0.948)",0_y290_y318_item6.png,冲锋,冲锋
"('A150', 0.931)",0_y298_y325_item0.png,A150,A150
"('土佐', 0.918)",0_y298_y325_item1.png,土佐,土佐
"('厌战', 0.877)",0_y298_y325_item2.png,厌战,厌战
"('皇家橡树', 0.931)",0_y298_y325_item3.png,皇家橡树,皇家橡树
"('日向', 0.914)",0_y298_y325_item4.png,日向,日向
"('伊势', 0.991)",0_y298_y325_item5.png,伊势,伊势
